stadt_nummer;stadt_name;kanton;land_id;szenario1_dach_potenzial_solarstrom_gwh;januar;februar;maerz;april;mai;juni;juli;august;september;oktober;november;dezember
4696;Taegerwilen;Thurgau;CH;59.8;1.64;2.69;4.97;6.66;8.01;8.51;8.73;7.27;5.26;3.14;1.67;1.25
4701;Waeldi;Thurgau;CH;26.13;0.83;1.3;2.22;2.84;3.38;3.56;3.65;3.09;2.32;1.48;0.82;0.64
4711;Affeltrangen;Thurgau;CH;41.07;1.24;1.99;3.47;4.53;5.35;5.59;5.73;4.85;3.65;2.36;1.3;1.01
4716;Bettwiesen;Thurgau;CH;13;0.4;0.62;1.09;1.43;1.69;1.77;1.82;1.53;1.15;0.75;0.42;0.33
4721;Bichelsee-Balterswil;Thurgau;CH;29.2;0.89;1.42;2.5;3.2;3.77;3.94;4.08;3.45;2.61;1.69;0.93;0.72
4723;Braunau;Thurgau;CH;12.07;0.39;0.61;1.05;1.32;1.54;1.59;1.65;1.41;1.08;0.72;0.4;0.31
4724;Eschlikon;Thurgau;CH;42.28;1.29;2.02;3.56;4.61;5.51;5.77;5.96;5;3.73;2.42;1.35;1.06
4726;Fischingen;Thurgau;CH;35.8;1.06;1.71;3.05;3.93;4.54;4.8;5.01;4.38;3.24;2.08;1.12;0.88
4741;Lommis;Thurgau;CH;16.65;0.53;0.81;1.41;1.82;2.15;2.24;2.3;1.95;1.49;0.97;0.55;0.43
4746;Muenchwilen (TG);Thurgau;CH;48.69;1.48;2.29;4.07;5.35;6.36;6.63;6.86;5.76;4.32;2.8;1.56;1.21
4751;Rickenbach (TG);Thurgau;CH;16.03;0.48;0.77;1.34;1.76;2.08;2.18;2.26;1.89;1.42;0.92;0.52;0.41
4756;Schoenholzerswilen;Thurgau;CH;17.31;0.53;0.86;1.49;1.91;2.23;2.32;2.4;2.03;1.54;1.01;0.56;0.43
4761;Sirnach;Thurgau;CH;60.81;1.82;2.86;5.11;6.68;7.93;8.29;8.59;7.21;5.41;3.5;1.93;1.48
4776;Tobel-Taegerschen;Thurgau;CH;19.57;0.59;0.95;1.66;2.16;2.54;2.65;2.72;2.31;1.74;1.13;0.63;0.49
4781;Waengi;Thurgau;CH;55.98;1.68;2.63;4.69;6.16;7.31;7.64;7.87;6.63;4.98;3.23;1.78;1.38
4786;Wilen (TG);Thurgau;CH;15.73;0.48;0.76;1.33;1.72;2.03;2.12;2.21;1.85;1.39;0.91;0.52;0.41
4791;Wuppenau;Thurgau;CH;19.99;0.65;1.01;1.73;2.18;2.55;2.65;2.75;2.33;1.77;1.18;0.66;0.53
4801;Berlingen;Thurgau;CH;6.12;0.14;0.27;0.54;0.7;0.81;0.86;0.89;0.75;0.57;0.33;0.16;0.1
4806;Eschenz;Thurgau;CH;21.27;0.6;1.01;1.79;2.35;2.78;2.95;3.04;2.56;1.93;1.16;0.63;0.47
4811;Herdern;Thurgau;CH;18.95;0.61;0.95;1.62;2.07;2.43;2.55;2.63;2.24;1.69;1.07;0.6;0.49
4816;Homburg;Thurgau;CH;35.1;1.11;1.74;3;3.82;4.52;4.76;4.89;4.16;3.12;1.98;1.11;0.89
4821;Huettwilen;Thurgau;CH;28.68;0.86;1.41;2.42;3.15;3.71;3.92;4.03;3.41;2.57;1.61;0.89;0.7
4826;Mammern;Thurgau;CH;8.11;0.21;0.37;0.69;0.91;1.07;1.13;1.17;0.99;0.74;0.44;0.23;0.16
4831;Muellheim;Thurgau;CH;30.4;0.93;1.46;2.54;3.34;3.97;4.16;4.28;3.64;2.71;1.71;0.93;0.73
4841;Pfyn;Thurgau;CH;24.97;0.79;1.25;2.13;2.74;3.2;3.35;3.45;2.96;2.24;1.42;0.8;0.64
4846;Raperswilen;Thurgau;CH;10.6;0.34;0.53;0.91;1.15;1.36;1.44;1.47;1.25;0.94;0.6;0.34;0.27
4851;Salenstein;Thurgau;CH;12.91;0.37;0.61;1.13;1.44;1.68;1.77;1.83;1.55;1.17;0.71;0.37;0.28
4864;Steckborn;Thurgau;CH;27.13;0.75;1.24;2.32;3.03;3.58;3.79;3.89;3.28;2.45;1.47;0.77;0.56
4871;Wagenhausen;Thurgau;CH;22.05;0.63;1.04;1.85;2.43;2.87;3.05;3.14;2.65;2.01;1.22;0.66;0.5
4881;Amlikon-Bissegg;Thurgau;CH;27.86;0.86;1.35;2.37;3.08;3.62;3.78;3.89;3.3;2.48;1.59;0.87;0.67
4891;Berg (TG);Thurgau;CH;41.44;1.35;2.1;3.58;4.53;5.31;5.55;5.73;4.85;3.65;2.37;1.35;1.07
4901;Birwinken;Thurgau;CH;22.65;0.74;1.16;1.98;2.49;2.89;3.01;3.11;2.63;2;1.29;0.75;0.6
4911;Buerglen (TG);Thurgau;CH;48.75;1.43;2.31;4.1;5.39;6.42;6.71;6.92;5.79;4.29;2.73;1.51;1.15
4921;Bussnang;Thurgau;CH;39.57;1.18;1.9;3.36;4.37;5.16;5.39;5.55;4.7;3.52;2.26;1.24;0.94
4941;Maerstetten;Thurgau;CH;38.39;1.15;1.82;3.22;4.23;5.04;5.29;5.43;4.58;3.42;2.16;1.17;0.88
4946;Weinfelden;Thurgau;CH;113.66;3.28;5.31;9.48;12.55;15.04;15.86;16.24;13.62;10.03;6.31;3.4;2.54
4951;Wigoltingen;Thurgau;CH;41.63;1.3;2.03;3.51;4.57;5.4;5.64;5.81;4.94;3.71;2.38;1.32;1.02
